央视频道,#genre#
CCTV1,http://116.227.232.149:7777/tsfile/live/0001_1.m3u8
CCTV2,http://116.227.232.149:7777/tsfile/live/0002_1.m3u8
CCTV3,http://116.227.232.149:7777/tsfile/live/0003_1.m3u8
CCTV4,http://116.227.232.149:7777/tsfile/live/0004_1.m3u8
CCTV5,http://116.227.232.149:7777/tsfile/live/0005_1.m3u8
CCTV5+,http://116.227.232.149:7777/tsfile/live/0016_1.m3u8
CCTV6,http://116.227.232.149:7777/tsfile/live/0006_1.m3u8
CCTV7,http://116.227.232.149:7777/tsfile/live/0007_1.m3u8
CCTV8,http://116.227.232.149:7777/tsfile/live/0008_1.m3u8
CCTV9,http://116.227.232.149:7777/tsfile/live/0009_1.m3u8
CCTV10,http://116.227.232.149:7777/tsfile/live/0010_1.m3u8
CCTV11,http://116.227.232.149:7777/tsfile/live/0011_1.m3u8
CCTV12,http://116.227.232.149:7777/tsfile/live/0012_1.m3u8
CCTV13,http://116.227.232.149:7777/tsfile/live/0013_1.m3u8
CCTV15,http://116.227.232.149:7777/tsfile/live/0015_1.m3u8
CCTV16,http://cg1.hunancatv.cn:9090/live/CCTV16_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=7114844658870775790&srchost=172.16.22.158:8060&gid=VUdUekIjmBFSrvnJArQETQ%3D%3D
CCTV17,http://116.227.232.149:7777/tsfile/live/1039_1.m3u8

CCTV1,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv1
CCTV2,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv2
CCTV3,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv3
CCTV4,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv4
CCTV5,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv5
CCTV5+,http://219.159.194.143:8181/tsfile/live/0016_1.m3u8
CCTV6,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv6
CCTV7,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv7
CCTV8,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv8
CCTV9,http://nn.7x9d.cn/组播8563/咪咕视频.php?id=cctv9
CCTV10,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv10
CCTV11,http://nn.7x9d.cn/组播8563/咪咕视频.php?id=cctv11
CCTV12,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv12
CCTV13,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv13
CCTV14,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv14
CCTV15,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv15
CCTV16,http://cg1.hunancatv.cn:9090/live/CCTV16_8000.m3u8?deviceid=866265039837531&sid=Yp6brv0MWYukAl4oJr9yrw%3D%3D&nonce=Ri1TgJg9dlAK&acl=0111&hlsSessionID=7114844658870775790&srchost=172.16.22.158:8060&gid=VUdUekIjmBFSrvnJArQETQ%3D%3D
CCTV17,http://nn.7x9d.cn/地方台8563/爱看咪咕.php?id=cctv17

CCTV1,http://111.8.224.6:8085/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://111.8.224.6:8085/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://111.8.224.6:8085/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://111.8.224.6:8085/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://111.8.224.6:8085/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.8.224.6:8085/tsfile/live/1052_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://111.8.224.6:8085/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://111.8.224.6:8085/tsfile/live/1073_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://111.8.224.6:8085/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://111.8.224.6:8085/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://111.8.224.6:8085/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://111.8.224.6:8085/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
